   dist Pb       Pn       P        Pdiff    PKPdf    PKPbc    PKPab   
  96.00     0.00     0.00   805.56     0.00     0.00     0.00     0.00
  97.00     0.00     0.00   810.06     0.00     0.00     0.00     0.00
  98.00     0.00     0.00   814.53     0.00     0.00     0.00     0.00
  99.00     0.00     0.00     0.00   818.97     0.00     0.00     0.00
 100.00     0.00     0.00     0.00   823.41     0.00     0.00     0.00
 101.00     0.00     0.00     0.00   827.85     0.00     0.00     0.00
 102.00     0.00     0.00     0.00   832.29     0.00     0.00     0.00
 103.00     0.00     0.00     0.00   836.73     0.00     0.00     0.00
 104.00     0.00     0.00     0.00   841.17     0.00     0.00     0.00
 105.00     0.00     0.00     0.00   845.61     0.00     0.00     0.00
 106.00     0.00     0.00     0.00   850.05     0.00     0.00     0.00
 107.00     0.00     0.00     0.00   854.48     0.00     0.00     0.00
 108.00     0.00     0.00     0.00   858.92     0.00     0.00     0.00
 109.00     0.00     0.00     0.00   863.36     0.00     0.00     0.00
 110.00     0.00     0.00     0.00   867.80     0.00     0.00     0.00
 111.00     0.00     0.00     0.00   872.24     0.00     0.00     0.00
 112.00     0.00     0.00     0.00   876.68     0.00     0.00     0.00
 113.00     0.00     0.00     0.00   881.12     0.00     0.00     0.00
 114.00     0.00     0.00     0.00   885.56     0.00     0.00     0.00
 115.00     0.00     0.00     0.00   890.00     0.00     0.00     0.00
 116.00     0.00     0.00     0.00   894.43     0.00     0.00     0.00
 117.00     0.00     0.00     0.00   898.87  1123.19     0.00     0.00
 118.00     0.00     0.00     0.00   903.31  1125.13     0.00     0.00
 119.00     0.00     0.00     0.00   907.75  1127.07     0.00     0.00
 120.00     0.00     0.00     0.00   912.19  1129.00     0.00     0.00
 121.00     0.00     0.00     0.00   916.63  1130.94     0.00     0.00
 122.00     0.00     0.00     0.00   921.07  1132.87     0.00     0.00
 123.00     0.00     0.00     0.00   925.51  1134.80     0.00     0.00
 124.00     0.00     0.00     0.00   929.95  1136.73     0.00     0.00
 125.00     0.00     0.00     0.00   934.38  1138.66     0.00     0.00
 126.00     0.00     0.00     0.00   938.82  1140.59     0.00     0.00
 127.00     0.00     0.00     0.00   943.26  1142.52     0.00     0.00
 128.00     0.00     0.00     0.00   947.70  1144.44     0.00     0.00
 129.00     0.00     0.00     0.00   952.14  1146.36     0.00     0.00
 130.00     0.00     0.00     0.00   956.58  1148.28     0.00     0.00
 131.00     0.00     0.00     0.00   961.02  1150.19     0.00     0.00
 132.00     0.00     0.00     0.00   965.46  1152.10     0.00     0.00
 133.00     0.00     0.00     0.00   969.90  1154.01     0.00     0.00
 134.00     0.00     0.00     0.00   974.33  1155.91     0.00     0.00
 135.00     0.00     0.00     0.00   978.77  1157.80     0.00     0.00
 136.00     0.00     0.00     0.00   983.21  1159.69     0.00     0.00
 137.00     0.00     0.00     0.00   987.65  1161.56     0.00     0.00
 138.00     0.00     0.00     0.00   992.09  1163.43     0.00     0.00
 139.00     0.00     0.00     0.00   996.53  1165.29     0.00     0.00
 140.00     0.00     0.00     0.00  1000.97  1167.14     0.00     0.00
 141.00     0.00     0.00     0.00  1005.41  1168.97     0.00     0.00
 142.00     0.00     0.00     0.00  1009.85  1170.80     0.00     0.00
 143.00     0.00     0.00     0.00  1014.29  1172.60     0.00     0.00
 144.00     0.00     0.00     0.00  1018.72  1174.39     0.00     0.00
 145.00     0.00     0.00     0.00     0.00  1176.16  1174.22  1174.35
 146.00     0.00     0.00     0.00     0.00  1177.91  1177.38  1178.16
 147.00     0.00     0.00     0.00     0.00  1179.63  1180.37  1182.08
 148.00     0.00     0.00     0.00     0.00  1181.33  1183.22  1186.08
 149.00     0.00     0.00     0.00     0.00  1183.00  1185.94  1190.13
 150.00     0.00     0.00     0.00     0.00  1184.64  1188.56  1194.24
 151.00     0.00     0.00     0.00     0.00  1186.25  1191.08  1198.39
 152.00     0.00     0.00     0.00     0.00  1187.82  1193.49  1202.58
 153.00     0.00     0.00     0.00     0.00  1189.36  1195.82  1206.79
 154.00     0.00     0.00     0.00     0.00  1190.85  1198.06  1211.04
 155.00     0.00     0.00     0.00     0.00  1192.30  1200.22  1215.30
 156.00     0.00     0.00     0.00     0.00  1193.71     0.00  1219.59
 157.00     0.00     0.00     0.00     0.00  1195.07     0.00  1223.90
 158.00     0.00     0.00     0.00     0.00  1196.39     0.00  1228.22
 159.00     0.00     0.00     0.00     0.00  1197.65     0.00  1232.56
 160.00     0.00     0.00     0.00     0.00  1198.87     0.00  1236.91
 161.00     0.00     0.00     0.00     0.00  1200.03     0.00  1241.28
 162.00     0.00     0.00     0.00     0.00  1201.13     0.00  1245.65
 163.00     0.00     0.00     0.00     0.00  1202.18     0.00  1250.04
 164.00     0.00     0.00     0.00     0.00  1203.18     0.00  1254.43
 165.00     0.00     0.00     0.00     0.00  1204.12     0.00  1258.83
 166.00     0.00     0.00     0.00     0.00  1205.00     0.00  1263.24
 167.00     0.00     0.00     0.00     0.00  1205.82     0.00  1267.65
 168.00     0.00     0.00     0.00     0.00  1206.59     0.00  1272.07
 169.00     0.00     0.00     0.00     0.00  1207.29     0.00  1276.50
 170.00     0.00     0.00     0.00     0.00  1207.94     0.00  1280.92
 171.00     0.00     0.00     0.00     0.00  1208.52     0.00  1285.35
 172.00     0.00     0.00     0.00     0.00  1209.05     0.00  1289.79
 173.00     0.00     0.00     0.00     0.00  1209.51     0.00  1294.22
 174.00     0.00     0.00     0.00     0.00  1209.91     0.00  1298.66
 175.00     0.00     0.00     0.00     0.00  1210.25     0.00  1303.09
 176.00     0.00     0.00     0.00     0.00  1210.53     0.00  1307.53
 177.00     0.00     0.00     0.00     0.00  1210.75     0.00     0.00
 178.00     0.00     0.00     0.00     0.00  1210.90     0.00     0.00
 179.00     0.00     0.00     0.00     0.00  1210.99     0.00     0.00
 180.00     0.00     0.00     0.00     0.00  1211.03     0.00     0.00
